idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
537,39.460621571944159,-0.36617282555207,"Carrer del General Urrutia, 2",113,14.0,4,0.0,68,8.1029,0.2203,12.820800000000002,30.450400000000002
606,39.463286554942989,-0.385925682949165,"Carrer de JesÃºs, 79-81",649,14.0,4,0.0,68,9.9253,0.27390000000000003,39.0848,54.9456
717,39.463605288891443,-0.396471816278665,"Carrer de l'Arxiduc Carles, 28",432,14.0,4,0.0,68,9.1875,0.2522,28.451800000000002,45.0287
717,39.463605288891443,-0.396471816278665,"Carrer de l'Arxiduc Carles, 28",432,14.0,4,0.0,68,9.1875,0.2522,28.451800000000002,45.0287
718,39.463086190634407,-0.39715151352303,"Carrer JosÃ© MarÃ­a Mortes Lerma, 2",245,14.0,4,0.0,68,8.5517,0.2335,19.288800000000002,36.4828
719,39.462588945370683,-0.397571780814545,"Carrer de l'Arxiduc Carles, 42-44",447,14.0,4,0.0,68,9.2385,0.25370000000000004,29.186800000000005,45.7142
720,39.461802621167259,-0.398288541809776,"Carrer de l'Arxiduc Carles, 93",464,14.0,4,0.0,68,9.2963,0.2554,30.019800000000004,46.4911
721,39.461841436262219,-0.399013637531376,"Carrer de la Mare de DÃ©u de la Cabeza, 44",111,14.0,4,0.0,68,8.0961,0.22010000000000002,12.722800000000003,30.359
722,39.461805766732823,-0.398871387166551,"Carrer de la Mare de DÃ©u de la Cabeza, 42",34,14.0,4,0.0,68,7.8343,0.2124,8.949800000000003,26.8401
723,39.461466279663256,-0.398790975185174,"Carrer de l'Arxiduc Carles, 60",301,14.0,4,0.0,68,8.7421,0.2391,22.0328,39.042
804,39.467241590952653,-0.391377193715651,"Avinguda del Cid, 7",1776,14.0,4,0.0,68,13.7571,0.3866,94.3078,106.4495
805,39.468141110100696,-0.390999040024694,"Avinguda de PÃ©rez GaldÃ³s, 75",338,14.0,4,0.0,68,8.8679,0.24280000000000002,23.845800000000004,40.7329
827,39.472899478773513,-0.394194371909998,"Avinguda de PÃ©rez GaldÃ³s, 122",617,14.0,4,0.0,68,9.8165,0.2707,37.5168,53.4832
828,39.473757630325721,-0.394990316641274,"Avinguda de PÃ©rez GaldÃ³s, 125",837,14.0,4,0.0,68,10.5645,0.2927,48.296800000000005,63.5372
829,39.464694950791795,-0.387972401439695,"Carrer de Conca, 72",231,14.0,4,0.0,68,8.5041,0.2321,18.602800000000002,35.843
830,39.46578547841856,-0.387075557704544,"Carrer de Conca, 56",240,14.0,4,0.0,68,8.5347,0.233,19.043800000000005,36.2543
831,39.470561748535928,-0.387762568744144,"Carrer de l'Erudit Orellana, 20",216,14.0,4,0.0,68,8.453100000000001,0.2306,17.867800000000003,35.1575
832,39.467301405980194,-0.388592398577113,"Carrer d'Alberic, 11",286,14.0,4,0.0,68,8.6911,0.2376,21.297800000000002,38.3565
903,39.469123591592904,-0.401773121707969,"Carrer de Josep Maestre, 76",24,14.0,4,0.0,68,7.8003,0.2114,8.459800000000005,26.3831
424,39.462763776875391,-0.362052476979314,"Avinguda de Peris i Valero, 83",505,14.0,4,0.0,68,9.4357,0.2595,32.028800000000004,48.3648
426,39.461766533151476,-0.364382936366528,"Avinguda de Peris i Valero, 166",433,14.0,4,0.0,68,9.190900000000001,0.2523,28.500800000000005,45.0744
427,39.459411490888243,-0.361131899320733,"Carrer de L'Escultor JosÃ© Capuz, 36-38",174,14.0,4,0.0,68,8.3103,0.22640000000000002,15.809800000000003,33.2381
428,39.462321909026933,-0.361061024047014,"Avinguda del Regne de ValÃ¨ncia, 87",178,14.0,4,0.0,68,8.3239,0.2268,16.0058,33.4209
428,39.462321909026933,-0.361061024047014,"Avinguda del Regne de ValÃ¨ncia, 87",178,14.0,4,0.0,68,8.3239,0.2268,16.0058,33.4209
429,39.462299982288826,-0.361620909417877,"Avinguda del Regne de ValÃ¨ncia, 94",196,14.0,4,0.0,68,8.3851,0.2286,16.887800000000006,34.2435
429,39.462299982288826,-0.361620909417877,"Avinguda del Regne de ValÃ¨ncia, 94",196,14.0,4,0.0,68,8.3851,0.2286,16.887800000000006,34.2435
430,39.461852029601111,-0.359007148497172,"Pont del Regne, 13",131,14.0,4,0.0,68,8.1641,0.22210000000000002,13.702800000000003,31.273
431,39.461790268543538,-0.359241191889424,"Pont del Regne, 13",135,14.0,4,0.0,68,8.1777,0.2225,13.898800000000003,31.4558
434,39.462835291541886,-0.361636305098149,"Avinguda de Peris i Valero, 194",900,14.0,4,0.0,68,10.778699999999999,0.29900000000000004,51.38380000000001,66.41629999999999
434,39.462835291541886,-0.361636305098149,"Avinguda de Peris i Valero, 194",900,14.0,4,0.0,68,10.778699999999999,0.29900000000000004,51.38380000000001,66.41629999999999
502,39.455649271545518,-0.374730305640992,"Plaza Manuel Sanchis Guarner, 11",1205,14.0,4,0.0,68,11.8157,0.3295,66.3288,80.35480000000001
503,39.456331952571418,-0.372827906918127,"Avinguda del Doctor Waksman, 23D",68,14.0,4,0.0,68,7.9499,0.2158,10.615800000000004,28.393900000000002
504,39.458721648559973,-0.377356375591721,"Carrer de les Filipines, 25",485,14.0,4,0.0,68,9.3677,0.2575,31.048800000000004,47.4508
505,39.458525163383293,-0.374752641629103,"Carrer dels Centelles, 49",223,14.0,4,0.0,68,8.4769,0.2313,18.210800000000003,35.4774
527,39.45961985183331,-0.372164838403439,"Carrer dels Centelles, 25-27",298,14.0,4,0.0,68,8.7319,0.2388,21.885800000000003,38.9049
528,39.459043631075488,-0.373527032032298,"Carrer dels Centelles, 40-42",277,14.0,4,0.0,68,8.6605,0.23670000000000002,20.856800000000003,37.9452
529,39.457261212087822,-0.374857259378286,"Avinguda de Peris i Valero, 38",843,14.0,4,0.0,68,10.5849,0.2933,48.5908,63.81139999999999
530,39.458252671879315,-0.372506550399781,"Avinguda de Peris i Valero, 62",821,14.0,4,0.0,68,10.5101,0.2911,47.5128,62.806
530,39.458252671879315,-0.372506550399781,"Avinguda de Peris i Valero, 62",821,14.0,4,0.0,68,10.5101,0.2911,47.5128,62.806
2135,39.465809650866234,-0.353416065455748,"Carrer de les Illes CanÃ ries, 76",395,14.0,4,0.0,68,9.0617,0.2485,26.638800000000003,43.3378
2211,39.454556040974815,-0.36167913793091,"Carrer del General Urrutia, 57",262,14.0,4,0.0,68,8.6095,0.23520000000000002,20.121800000000004,37.2597
2224,39.45796897152718,-0.36041285351856,"Avinguda de la Plata, 103",182,14.0,4,0.0,68,8.3375,0.2272,16.201800000000006,33.6037
2237,39.451978823779754,-0.372197937168949,"Avinguda d'AusiÃ s March, 43",1090,14.0,4,0.0,68,11.4247,0.318,60.69380000000001,75.0993
2238,39.452755952611177,-0.372362172196845,"Avinguda de la Plata, 11",310,14.0,4,0.0,68,8.7727,0.24,22.473800000000004,39.4533
2239,39.453221606881449,-0.371679179668316,"Avinguda de la Plata, 9",295,14.0,4,0.0,68,8.7217,0.23850000000000002,21.738800000000005,38.7678
2240,39.453217502676523,-0.371249942040546,"Avinguda de la Plata, 6-8",256,14.0,4,0.0,68,8.5891,0.2346,19.827800000000003,36.9855
2241,39.453624200724853,-0.3707148681312,"Avinguda de la Plata, 13",250,14.0,4,0.0,68,8.5687,0.234,19.533800000000003,36.7113
