id punto de medida,angulo,ptos_gps,nombre_via,tipo
2504,121,"39.4728361053,-0.386610257743","Gran Via de Ferran el CatÃ²lic, 44",0
2505,121,"39.4761241651,-0.388954278469","Gran Via de Ferran el CatÃ²lic, 78",0
2506,121,"39.4775939282,-0.390102981175","Pont de les GlÃ²ries Valencianes, 4g",0
2509,301,"39.4764512989,-0.389574482039","Gran Via de Ferran el CatÃ²lic, 79-81",0
2510,301,"39.473216392,-0.387278043095","Gran Via de Ferran el CatÃ²lic, 35-37",0
2511,301,"39.4715417233,-0.386108522682","Gran Via de Ferran el CatÃ²lic, 27",0
2512,238,"39.4666489956,-0.38303917159","Carrer de JesÃºs, 34",0
2513,349,"39.4657658547,-0.383216092303","Calle Pintor Benedito, 9-11",0
2515,65,"39.4697179563,-0.383845885868","Carrer de Conca, 5-7",0
2516,183,"39.470361279,-0.383812838563","Carrer de Guillem de Castro, 57",0
2516,183,"39.470361279,-0.383812838563","Carrer de Guillem de Castro, 57",0
2517,94,"39.4716417837,-0.383960591168","Carrer de Guillem de Castro, 44",0
2518,30,"39.4717350542,-0.387886322709","Carrer de Calixt III, 15",0
2519,97,"39.4741082381,-0.383958448868","Carrer de Guillem de Castro, 68-74",0
2533,301,"39.4666925156,-0.382610668047","Gran VÃ­a de RamÃ³n y Cajal, 33",0
2625,271,"39.4991077902,-0.400039609898","Avinguda de Burjassot, 250",0
2625,271,"39.4991077902,-0.400039609898","Avinguda de Burjassot, 250",0
2626,104,"39.4989701036,-0.39998382259","Avinguda de Burjassot, 250",0
2701,341,"39.4846418636,-0.361908921496","Carrer del Doctor Vicent Zaragoza, 22",0
2703,71,"39.4827873054,-0.36331057644","Carrer de Jaume Roig, 24-26",0
2704,138,"39.4826926772,-0.361149278587","Avinguda del Primat Reig, 149",0
2706,71,"39.4850050986,-0.362214561694","Carrer d'Emili BarÃ³, 14",0
2707,71,"39.4869675643,-0.361244753284","Carrer d'Emili BarÃ³, 44-46",0
